"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","SHG","SHA","SHPTS","GWG","ENG","PIM","Active","PPP","PPP_Percentage","RNK"
"Anthony Romani","NO",15,2005-07-12,2005,6.01,184,"RW","North Bay Battalion",40,35,32,67,1.68,20,10,8,0,0,0,4,3,12,1,18,26.9,126
"Hunter Brzustewicz","NO",4,2004-11-29,2004,6,188,"RD","Kitchener Rangers",42,8,59,67,1.6,32,1,17,0,1,1,0,0,16,1,18,26.9,120.5
"Denver Barkey","NO",86,2005-04-27,2005,5.09,154,"RW","London Knights",39,24,40,64,1.64,29,4,16,6,2,8,2,1,16,1,20,31.2,121
"Carson Rehkopf","NO",16,2005-01-07,2005,6.01,195,"C","Kitchener Rangers",34,37,26,63,1.85,23,12,10,0,0,0,7,2,28,1,22,34.9,108
"Matthew Sop","NO",91,2003-02-04,2003,6,182,"C","Kitchener Rangers",42,26,35,61,1.45,15,5,13,2,2,4,6,2,37,1,18,29.5,82.5
"David Goyette","NO",88,2004-03-27,2004,5.11,181,"RW","Sudbury Wolves",39,24,36,60,1.54,18,5,9,1,2,3,1,3,16,1,14,23.3,104
"Zayne Parekh","NO",19,2006-02-15,2006,6,180,"D","Saginaw Spirit",39,20,39,59,1.51,19,8,17,1,0,1,3,0,34,1,25,42.4,83.5
"Liam Greentree","NO",66,2006-01-01,2006,6.02,198,"RW","Windsor Spitfires",36,23,32,55,1.53,-10,8,5,0,1,1,0,3,16,1,13,23.6,68
"Deni Goure","NO",7,2003-07-15,2003,5.11,170,"C","Owen Sound Attack",40,22,33,55,1.38,6,4,14,3,1,4,5,1,18,1,18,32.7,81.5
"Luke Misa","NO",33,2005-11-25,2005,5.1,175,"C","Mississauga Steelheads",40,17,38,55,1.38,24,5,10,0,0,0,2,2,4,1,15,27.3,111
"Dalyn Wakely","NO",14,2004-03-05,2004,6.01,197,"C","North Bay Battalion",39,19,35,54,1.38,19,4,9,0,0,0,3,2,38,1,13,24.1,71.5
"Oliver Peer","NO",94,2003-03-09,2003,6,170,"RW","Flint Firebirds",40,24,29,53,1.33,-14,3,10,3,0,3,3,2,16,1,13,24.5,61.5
"Jacob Julien","NO",13,2004-09-12,2004,6.03,170,"C","London Knights",40,18,34,52,1.3,20,5,15,3,0,3,1,0,31,1,20,38.5,76
"Jack Beck","NO",12,2003-04-12,2003,6,180,"LW","Soo Greyhounds",41,16,35,51,1.24,3,2,16,0,0,0,1,0,14,1,18,35.3,73.5
"Nick Lardis","NO",16,2005-07-08,2005,5.11,171,"RW","Brantford Bulldogs",37,29,21,50,1.35,5,6,7,0,1,1,3,3,12,1,13,26,82.5
"Porter Martone","NO",94,2006-10-26,2006,6.03,196,"RW","Mississauga Steelheads",39,28,22,50,1.28,23,9,7,0,0,0,2,2,47,1,16,32,65
"Easton Cowan","NO",7,2005-05-20,2005,5.1,171,"LW","London Knights",28,16,34,50,1.79,18,2,16,3,5,8,2,0,35,1,18,36,66
"Hunter Haight","NO",37,2004-04-04,2004,5.11,180,"C","Saginaw Spirit",39,18,30,48,1.23,-1,6,12,0,0,0,3,1,20,1,18,37.5,60
"Michael Misa","NO",77,2007-02-16,2007,6,175,"LW","Saginaw Spirit",38,19,28,47,1.24,5,7,11,0,0,0,3,1,16,1,18,38.3,69
"Jett Luchanko","NO",7,2006-08-21,2006,5.11,183,"C","Guelph Storm",41,13,34,47,1.15,-4,2,22,1,1,2,2,1,28,1,24,51.1,45
"Quentin Musty","NO",27,2005-07-06,2005,6.02,202,"LW","Sudbury Wolves",28,19,27,46,1.64,11,5,11,0,0,0,3,1,34,1,16,34.8,55.5
"Braeden Bowman","NO",15,2003-06-26,2003,6.02,195,"RW","Guelph Storm",41,23,22,45,1.1,-7,10,11,1,1,2,7,1,39,1,21,46.7,33
"Trent Swick","NO",57,2004-04-25,2004,6.06,208,"LW","Kitchener Rangers",42,18,27,45,1.07,24,6,5,1,0,1,2,0,34,1,11,24.4,66.5
"Luca Pinelli","NO",20,2005-04-05,2005,5.09,169,"C","Ottawa 67's",39,29,15,44,1.13,-14,12,4,0,0,0,3,0,20,1,16,36.4,46.5
"Adrian Misaljevic","NO",10,2004-07-10,2004,5.11,154,"RW","Kitchener Rangers",42,22,22,44,1.05,20,2,5,0,0,0,1,2,14,1,7,15.9,83
"Owen Van Steensel","NO",16,2004-08-04,2004,5.1,184,"LW","North Bay Battalion",38,19,25,44,1.16,11,3,4,1,0,1,1,2,28,1,7,15.9,58.5
"Ruslan Gazizov","NO",70,2004-01-21,2004,5.11,185,"LW","London Knights",37,17,27,44,1.19,15,4,10,1,1,2,3,0,29,1,14,31.8,60.5
"Oliver Bonk","NO",59,2005-01-09,2005,6.02,179,"D","London Knights",33,12,32,44,1.33,5,9,13,0,3,3,3,0,20,1,22,50,57
"Pano Fimis","NO",98,2004-06-17,2004,5.11,183,"C","Erie Otters",38,12,32,44,1.16,-5,5,13,0,0,0,1,0,32,1,18,40.9,35
"Ethan Burroughs","NO",29,2003-06-19,2003,5.1,187,"RW","Owen Sound Attack",40,17,26,43,1.08,-5,8,12,1,2,3,1,1,47,1,20,46.5,21
"Paul Ludwinski","NO",19,2004-04-23,2004,5.11,187,"C","Kingston Frontenacs",34,15,28,43,1.26,1,3,8,2,0,2,4,0,12,1,11,25.6,61
"Marco Mignosa","NO",26,2005-04-13,2005,5.11,166,"RW","Soo Greyhounds",41,17,25,42,1.02,12,4,6,2,4,6,2,1,18,1,10,23.8,65.5
"Justin Ertel","NO",9,2003-05-27,2003,6.02,187,"LW","North Bay Battalion",39,15,27,42,1.08,8,2,11,2,0,2,2,1,60,1,13,31,18.5
"Calem Mangone","NO",7,2004-11-04,2004,5.09,165,"RW","Saginaw Spirit",39,14,28,42,1.08,21,3,7,0,0,0,1,0,28,1,10,23.8,63
